epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.238,1.52333,2.69089,1.82098,0.00329,0.9875,0.38861,0.15408,1.52989,3.65444,1.85522,0.00034,0.00034,0.00034
2,425.428,1.40194,2.21605,1.72225,0.87571,0.17622,0.41665,0.15851,1.93992,3.59861,2.28201,0.0006769,0.0006769,0.0006769
3,578.623,1.55117,2.26599,1.81489,0.15502,0.2125,0.05833,0.01548,2.53233,4.43439,3.26762,0.00099004,0.00099004,0.00099004
4,729.882,1.56413,2.30687,1.8926,0.24886,0.525,0.2553,0.07604,2.1045,7.81003,3.19031,0.00127942,0.00127942,0.00127942
5,882.22,1.56975,2.09915,1.82622,0.14813,0.2125,0.09678,0.02862,2.40166,3.9145,2.7922,0.00154504,0.00154504,0.00154504
6,1032.3,1.73465,2.0404,1.9047,0.33162,0.2375,0.16973,0.04149,2.86277,2.81419,3.18835,0.00167,0.00167,0.00167
7,1180.33,1.63996,2.1325,1.87604,0.01498,0.025,0.00439,0.00178,3.19561,24.7572,3.69624,0.001604,0.001604,0.001604
8,1327.69,1.67594,2.09681,1.94791,0.21036,0.125,0.06819,0.02092,2.83225,3.51483,3.1498,0.001538,0.001538,0.001538
9,1479.05,1.52192,1.86231,1.74251,0.38521,0.45,0.36815,0.12854,2.0709,3.18895,2.50413,0.001472,0.001472,0.001472
10,1627.42,1.64997,1.88904,1.8177,0.50932,0.675,0.642,0.24146,1.76908,2.17863,2.03445,0.001406,0.001406,0.001406
11,1777.51,1.54149,1.78072,1.73639,0.56406,0.2625,0.29212,0.11485,2.39077,2.50314,2.57966,0.00134,0.00134,0.00134
12,1926.92,1.56414,1.67815,1.74183,0.51971,0.4375,0.48959,0.19999,2.10614,2.80477,2.48295,0.001274,0.001274,0.001274
13,2079.34,1.50227,1.70656,1.70698,0.61181,0.5125,0.57009,0.23869,1.81358,2.22934,2.14711,0.001208,0.001208,0.001208
14,2230.25,1.53032,1.65452,1.70411,0.70847,0.8,0.75875,0.37115,1.65122,1.6304,1.97138,0.001142,0.001142,0.001142
15,2380.16,1.41354,1.52447,1.63486,0.85625,0.67015,0.76882,0.4011,1.50363,1.50221,1.78764,0.001076,0.001076,0.001076
16,2528.19,1.44848,1.53078,1.66085,0.86538,0.6625,0.77219,0.38157,1.62634,1.52884,1.85816,0.00101,0.00101,0.00101
17,2672.52,1.43044,1.43843,1.65695,0.68563,0.625,0.68333,0.3029,1.77532,1.7578,1.9942,0.000944,0.000944,0.000944
18,2817.51,1.39139,1.38119,1.60552,0.78986,0.75177,0.78396,0.38413,1.62769,1.55622,1.81615,0.000878,0.000878,0.000878
19,2961.67,1.4032,1.48793,1.60151,0.75094,0.60306,0.72142,0.31036,1.79832,1.59377,1.98617,0.000812,0.000812,0.000812
20,3119.31,1.39745,1.36543,1.58155,0.73003,0.6375,0.7513,0.3756,1.6188,1.40195,1.86409,0.000746,0.000746,0.000746
21,3281.06,1.40347,1.54107,1.78171,0.76641,0.7625,0.84179,0.4385,1.52642,1.35507,1.72013,0.00068,0.00068,0.00068
22,3436.4,1.37848,1.41613,1.72008,0.75981,0.7875,0.85263,0.41137,1.66645,1.46741,1.81494,0.000614,0.000614,0.000614
23,3587.08,1.35847,1.28382,1.73644,0.81384,0.8875,0.8934,0.48644,1.48399,1.26177,1.69921,0.000548,0.000548,0.000548
24,3733.02,1.35335,1.16409,1.72654,0.87147,0.825,0.89163,0.47694,1.50107,1.26976,1.71955,0.000482,0.000482,0.000482
25,3878.96,1.2697,1.13181,1.62476,0.86948,0.83274,0.88851,0.4996,1.47677,1.21114,1.69364,0.000416,0.000416,0.000416
26,4024.32,1.31965,1.15211,1.67996,0.94518,0.8,0.90138,0.4808,1.5026,1.15438,1.68248,0.00035,0.00035,0.00035
27,4174.25,1.20291,1.06893,1.58708,0.90058,0.90591,0.93481,0.55506,1.35436,1.05959,1.56974,0.000284,0.000284,0.000284
28,4324.26,1.25009,1.10434,1.597,0.93599,0.8875,0.93268,0.5624,1.35172,1.03025,1.57081,0.000218,0.000218,0.000218
29,4471.46,1.20037,1.05988,1.58151,0.93242,0.86232,0.93172,0.54208,1.39797,1.0737,1.59267,0.000152,0.000152,0.000152
30,4619.79,1.18859,1.01687,1.5803,0.9342,0.9,0.93554,0.54107,1.38916,1.06008,1.58761,8.6e-05,8.6e-05,8.6e-05
